Gender,YOB,Status,Type,Brand,Model,OS,Vendor,Week,Revenue
MALE,1971,ACTIVE,Prepaid,SAMSUNG,GALAXY GRAND DUOS (GT-I9082),Android,Google,34,4.52
FEMALE,1972,ACTIVE,Prepaid,SAMSUNG,GALAXY GRAND PRIME VE DUOS (SM-G531HDS),Android,Google,34,4.71
MALE,1985,ACTIVE,Prepaid,XIAOMI,REDMI NOTE 4 (2016102),Android,Google,34,4.78
FEMALE,1984,ACTIVE,Prepaid,SAMSUNG,GALAXY J2 (SM-J200H),Android,Google,34,5.25
MALE,1991,ACTIVE,Prepaid,SYMPHONY,V32,Android,Google,34,5.36
MALE,1991,SUSPEND,Prepaid,LG,OPTIMUS L3 (E400),Android,Google,34,5.36
FEMALE,1967,ACTIVE,Prepaid,SONYERICSSON,XPERIA T2 ULTRA DUAL (XM50H),Android,Google,34,5.66
MALE,1984,ACTIVE,Prepaid,HOTWAV,VENUS R9,Android,Google,34,5.66
MALE,1992,ACTIVE,Prepaid,SIERRA WIRELESS,AIR PRIME Q2686,Proprietary OS,Proprietary OS,34,6.26
FEMALE,1986,ACTIVE,Prepaid,SYMPHONY,I10 PLUS,Android,Google,34,6.26
MALE,1990,ACTIVE,Prepaid,MICROMAX,C1,Android,Google,34,6.32
MALE,1975,ACTIVE,Prepaid,SONYERICSSON,XPERIA Z3 COMPACT LTE-A (D5833),Android,Google,34,6.34
MALE,1980,ACTIVE,Prepaid,SAMSUNG,GALAXY J1 (SM-J110HDS),Android,Google,34,6.42
MALE,1947,ACTIVE,Prepaid,SAMSUNG,GALAXY J2 PRIME DUOS (SM-G532G DS),Android,Google,34,6.44
FEMALE,1987,ACTIVE,Prepaid,SYMPHONY,V46,Android,Google,34,6.48
MALE,1978,ACTIVE,Prepaid,LENOVO,TAB 2 A7-30HC,Android,Google,34,6.52
MALE,1954,ACTIVE,Prepaid,SAMSUNG,GALAXY J2 PRIME DUOS (SM-G532G DS),Android,Google,34,6.96
FEMALE,1992,ACTIVE,Prepaid,SAMSUNG,GALAXY GRAND PRIME DUOS (SM-G532F DS),Android,Google,34,7.07
MALE,1972,ACTIVE,Prepaid,NOKIA,E72-1,Series60,Symbian,34,7.11
MALE,1984,ACTIVE,Prepaid,SYMPHONY,"L25, FT42, W130, W69",Proprietary OS,Proprietary OS,34,7.20
MALE,1964,ACTIVE,Prepaid,SYMPHONY,V100,Android,Google,34,7.27
MALE,1989,ACTIVE,Prepaid,SYMPHONY,"FT01, FT03, FT36, FT37",Proprietary OS,Proprietary OS,34,7.53
MALE,1976,ACTIVE,Prepaid,SAMSUNG,"GALAXY J8 2018 (SM-J810G,DS)",Android,Google,34,8.12
MALE,1964,ACTIVE,Prepaid,SYMPHONY,I10,Android,Google,34,8.14
FEMALE,1960,ACTIVE,Prepaid,SAMSUNG,GALAXY GRAND PRIME DUOS (SM-G532F DS),Android,Google,34,8.24
FEMALE,1981,ACTIVE,Prepaid,OPPO,NEO 7 (A33F),Android,Google,34,8.48
FEMALE,1973,ACTIVE,Prepaid,MICROMAX,X328,Proprietary OS,Proprietary OS,34,8.48
FEMALE,1962,ACTIVE,Prepaid,SYMPHONY,I10 PLUS,Android,Google,34,8.64
MALE,1970,ACTIVE,Prepaid,SAMSUNG,GALAXY NOTE 4 LTE-A (SM-N910A),Android,Google,34,9.18
FEMALE,1988,ACTIVE,Prepaid,SB TEL,"SYMPHONY B19, E76",Proprietary OS,Proprietary OS,34,9.37
MALE,1980,ACTIVE,Prepaid,ITEL,P11,Android,Google,34,9.40
MALE,1978,ACTIVE,Prepaid,ERICSSON,BYTWO M25,Symbian OS,Symbian,34,9.48
MALE,1996,ACTIVE,Prepaid,NOKIA,"ASHA 206,2060",Series40,Symbian,34,9.60
MALE,1974,ACTIVE,Prepaid,SAMSUNG,GALAXY GRAND PRIME DUOS (SM-G532F DS),Android,Google,34,9.60
MALE,1988,ACTIVE,Prepaid,ITEL,S11,Android,Google,34,9.91
MALE,1987,ACTIVE,Prepaid,GIONEE,"A43,P360,P6,P4S",Android,Google,34,10.15
MALE,1993,ACTIVE,Prepaid,HUAWEI,Y3II (LUA-U22),Android,Google,34,10.17
MALE,1985,ACTIVE,Prepaid,HUAWEI,ASCEND Y625-U32,Android,Google,34,10.60
MALE,1997,ACTIVE,Prepaid,SAMSUNG,GALAXY J7 DUOS LTE (SM-J710GN DS),Android,Google,34,10.67
MALE,1975,ACTIVE,Prepaid,SYMPHONY,I10,Android,Google,34,10.69
MALE,1975,ACTIVE,Prepaid,ZTE,MF193,Proprietary OS,Proprietary OS,34,10.83
MALE,1987,ACTIVE,Prepaid,SYMPHONY,E58,Android,Google,34,10.95
